date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-07-01,00992A,2330,台積電,1406000,7.96,2505,3.9419,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2454,聯發科,406000,3.98,4335,2.1201,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2345,智邦,977000,5.87,2660,6.6132,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6223,旺矽,326000,4.93,6695,9.9343,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2383,台光電,563000,7.04,5535,2.6902,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3665,貿聯-KY,955000,4.34,2010,4.9608,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3017,奇鋐,1009000,5.97,2620,3.7624,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6187,萬潤,1220000,2.94,1065,6.7134,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3491,昇達科,1000,0,1260,-5.618,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2059,川湖,293000,5.07,7655,4.0082,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2368,金像電,325000,0.9,1220,1.6667,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6805,富世達,109000,0.42,1700,1.1905,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3661,世芯-KY,215000,2.16,4450,6.4593,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6515,穎崴,120000,2.41,8890,9.9567,-25000,減碼,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6584,南俊國際,2231000,3.52,698,-4.9046,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3443,創意,311000,3.55,5045,4.128,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3264,欣銓,72000,0.04,232,4.5045,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,8996,高力,1630000,5.73,1555,0.3226,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2327,國巨*,1566000,4.03,1140,0,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,8299,群聯,445000,2.28,2270,-4.8218,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3711,日月光投控,1629000,2.59,703,3.3824,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3037,欣興,2097000,4.93,1040,-2.8037,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3008,大立光,420000,4.11,4330,0.9324,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,8021,尖點,1501000,1.9,561,-2.2648,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3189,景碩,440013,0.88,888,-0.3367,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3260,威剛,358000,0.32,398.5,-2.5672,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6139,亞翔,250000,0.52,912,-1.1918,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,5289,宜鼎,98000,0.35,1575,-2.4768,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2303,聯電,7000000,2.67,169,2.7356,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3583,辛耘,566000,1.16,905,0.1106,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2337,旺宏,1343000,0.44,143.5,-7.717,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,3363,上詮,300000,0.36,537,-7.0934,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,2455,全新,2753000,2.23,358.5,3.3141,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,7751,竑騰,372000,1.22,1450,5.8394,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,6182,合晶,4500000,1.37,135,9.7561,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
2026-07-01,00992A,7734,印能科技,56000,0.39,3085,1.6474,0,不變,https://goal-star.com/fund/00992A,2026-07-01T13:15:25.377Z
